Date,Product,Category,Quantity Sold,Unit Price,Total Revenue,Region,Profit
2024-01-31,Tablet,Electronics,20,504,10080,North,6080
2024-02-07,Keyboard,Accessories,37,73,2701,East,-4699
2024-02-11,Smartwatch,Wearables,37,249,9213,East,1813
2024-01-15,Smartwatch,Wearables,5,67,335,West,-665
2024-01-19,Headphones,Accessories,4,42,168,West,-632
2024-01-10,Keyboard,Accessories,29,38,1102,East,-4698
2024-02-26,Smartphone,Electronics,34,1078,36652,South,29852
2024-01-15,Laptop,Electronics,45,1372,61740,South,52740
2024-01-02,Mouse,Accessories,18,10,180,East,-3420
2024-01-20,Mouse,Accessories,10,16,160,West,-1840
2024-02-01,Tablet,Electronics,25,515,12875,West,7875
2024-02-06,Mouse,Accessories,40,45,1800,West,-6200
2024-02-01,TV,Electronics,28,2127,59556,South,53956
2024-02-29,Headphones,Accessories,33,72,2376,West,-4224
2024-02-17,Smartwatch,Wearables,43,385,16555,West,7955
2024-01-13,Headphones,Accessories,42,104,4368,North,-4032
2024-01-21,Mouse,Accessories,45,23,1035,West,-7965
2024-02-28,Tablet,Electronics,28,220,6160,North,560
2024-01-11,Mouse,Accessories,47,26,1222,East,-8178
2024-01-08,Smartwatch,Wearables,14,130,1820,South,-980
2024-01-06,Smartwatch,Wearables,3,260,780,North,180
2024-02-24,TV,Electronics,41,1751,71791,East,63591
2024-01-05,Mouse,Accessories,50,57,2850,South,-7150
2024-01-01,Mouse,Accessories,14,78,1092,East,-1708
2024-02-23,Keyboard,Accessories,47,33,1551,West,-7849
2024-01-29,Mouse,Accessories,22,69,1518,East,-2882
2024-02-26,Tablet,Electronics,39,663,25857,South,18057
2024-01-28,Headphones,Accessories,14,40,560,North,-2240
2024-02-14,Keyboard,Accessories,45,69,3105,North,-5895
2024-01-17,Headphones,Accessories,7,26,182,West,-1218
2024-02-14,Mouse,Accessories,15,36,540,South,-2460
2024-01-15,Keyboard,Accessories,38,72,2736,West,-4864
2024-01-15,Mouse,Accessories,40,19,760,West,-7240
2024-02-17,Mouse,Accessories,1,37,37,South,-163
2024-03-01,Smartphone,Electronics,44,650,28600,North,19800
2024-02-10,Laptop,Electronics,32,1466,46912,West,40512
